"pointid","xcoord","ycoord"
139,1506855.11366188,4050656.05522924
140,1504293.56522791,4050562.34004263
141,1504231.08843684,4050656.05522924
142,1504324.80362345,4050624.8168337
143,1506136.63056455,4050718.53202031
144,1507292.45119939,4050749.77041584
145,1506948.82884849,4050749.77041584
146,1506417.77612438,4050749.77041584
147,1503450.12854843,4050812.24720692
148,1503137.74459307,4050812.24720692
149,1504949.57153417,4050905.96239353
150,1501919.44716716,4050937.20078906
151,1505824.24660919,4050937.20078906
152,1502075.63914484,4050968.4391846
153,1501513.34802519,4051030.91597567
154,1501888.20877162,4051124.63116228
155,1502606.69186896,4051062.15437121
156,1504793.37955649,4051093.39276674
157,1506917.59045296,4051124.63116228
158,1507011.30563956,4050999.67758013
159,1507229.97440832,4051155.86955782
160,1502325.54630913,4051155.86955782
161,1504231.08843684,4051187.10795335
162,1506324.06093777,4051218.34634889
163,1505949.20019133,4051343.29993103
164,1505793.00821365,4051280.82313996
165,1501607.0632118,4051218.34634889
166,1504480.99560113,4051280.82313996
167,1503450.12854843,4051312.0615355
168,1503356.41336183,4051405.7767221
169,1505355.67067614,4051343.29993103
170,1500013.90503945,4051343.29993103
171,1499888.9514573,4051468.25351318
172,1499732.75947962,4051624.44549086
173,1499732.75947962,4051936.82944622
174,1499701.52108409,4052098.0214239
175,1499701.52108409,4052093.0214239
176,1499701.52108409,4052186.73661051
177,1499670.28268855,4052311.69019266
178,1499763.99787516,4052530.35896141
179,1499795.2362707,4052842.74291677
180,1501107.24888322,4051374.53832657
181,1501013.53369661,4051968.06784176
182,1501107.24888322,4052342.92858819
183,1500982.29530107,4052530.35896141
184,1500857.34171893,4052998.93489445
185,1500638.67295017,4051405.7767221
186,1500919.81851,4051905.59105068
187,1506386.53772884,4051468.25351318
188,1506230.34575116,4051468.25351318
189,1506011.67698241,4051405.7767221
190,1501825.73198055,4051499.49190871
191,1502325.54630913,4051530.73030425
192,1502263.06951806,4051718.16067747
193,1499701.52108409,4051530.73030425
194,1506605.20649759,4051624.44549086
195,1506355.2993333,4051593.20709532
196,1505636.81623597,4051624.44549086
197,1500388.76578588,4051624.44549086
198,1499326.66033765,4051624.44549086
199,1502356.78470467,4051655.6838864
200,1506324.06093777,4051686.92228193
201,1504730.90276542,4051686.92228193
202,1501732.01679394,4051686.92228193
203,1505917.9617958,4051718.16067747
204,1503856.22769041,4051749.399073
205,1502981.55261539,4051811.87586408
206,1505386.90907168,4051905.59105068
207,1504980.80992971,4052311.69019266
208,1504887.0947431,4052342.92858819
209,1504855.85634757,4052342.92858819
210,1504600.94918328,4052342.92858819
211,1504605.94918328,4052342.92858819
212,1504418.51881006,4052311.69019266
213,1504137.37325023,4052249.21340158
214,1505511.86265383,4051905.59105068
215,1499857.71306177,4051905.59105068
216,1501700.77839841,4051936.82944622
217,1501325.91765197,4051968.06784176
218,1499857.71306177,4051999.30623729
219,1503262.69817522,4052124.25981944
220,1504855.85634757,4052155.49821497
221,1502887.83742878,4052155.49821497
222,1504637.18757881,4052186.73661051
223,1499389.13712873,4052217.97500605
224,1499482.85231533,4052342.92858819
225,1505449.38586275,4052280.45179712
226,1500763.62653232,4052311.69019266
227,1504418.51881006,4052467.88217034
228,1500107.62022606,4052467.88217034
229,1503700.03571272,4052499.12056587
230,1500357.52739035,4052499.12056587
231,1500263.81220374,4052592.83575248
232,1505386.90907168,4052655.31254355
233,1505105.76351185,4052530.35896141
234,1505137.00190739,4052624.07414802
235,1500544.95776357,4052624.07414802
236,1503137.74459307,4052655.31254355
237,1501325.91765197,4052686.55093909
238,1501200.96406983,4052717.78933463
239,1498264.55488942,4052686.55093909
240,1498358.27007603,4052873.98131231
241,1498264.55488942,4053155.12687213
242,1498517.99758762,4053346.09277926
243,1498514.46205371,4053342.55724535
244,1498670.65403139,4053529.98761857
245,1499389.13712873,4052717.78933463
246,1499045.51477783,4052749.02773016
247,1499076.75317336,4052842.74291677
248,1499045.51477783,4053405.03403642
249,1505449.38586275,4052780.2661257
250,1498483.22365817,4052780.2661257
251,1504387.28041452,4052811.50452124
252,1504231.08843684,4052686.55093909
253,1501856.97037609,4052811.50452124
254,1501638.30160733,4052811.50452124
255,1499701.52108409,4052811.50452124
256,1498920.56119568,4052811.50452124
257,1503418.8901529,4052905.21970784
258,1502794.12224217,4053280.08045428
259,1502544.21507788,4053155.12687213
260,1502512.97668235,4053155.12687213
261,1501981.92395823,4052842.74291677
262,1497733.50216531,4052905.21970784
263,1504231.08843684,4052936.45810338
264,1503793.75089933,4052967.69649892
265,1501981.92395823,4052936.45810338
266,1498670.65403139,4052967.69649892
267,1505012.04832525,4052998.93489445
268,1504824.61795203,4052936.45810338
269,1496577.68153046,4052998.93489445
270,1496577.68153046,4053155.12687213
271,1496515.20473939,4053280.08045428
272,1496265.2975751,4053654.94120071
273,1496171.58238849,4053748.65638732
274,1496140.34399296,4053904.848365
275,1496296.53597064,4054092.27873822
276,1496140.34399296,4054560.85467126
277,1496109.10559742,4054623.33146234
278,1496140.34399296,4055029.43060431
279,1496171.58238849,4055185.62258199
280,1496202.82078403,4055279.3377686
281,1496234.05917957,4055373.05295521
282,1502700.40705557,4053030.17328999
283,1501482.10962965,4053061.41168553
284,1504762.14116096,4053061.41168553
285,1496452.72794832,4053123.8884766
286,1496327.77436618,4053186.36526767
287,1496296.53597064,4053342.55724535
288,1503731.27410826,4053217.60366321
289,1503450.12854843,4053561.2260141
290,1503293.93657075,4053529.98761857
291,1502950.31421986,4053498.74922303
292,1502887.83742878,4053405.03403642
293,1498920.56119568,4053217.60366321
