"pointid","xcoord","ycoord"
99,426513.946488543,3952297.96452671
100,426730.772559201,3952421.86513851
101,428093.679289053,3952545.76575032
102,427660.027147736,3952607.71605622
103,427350.275618225,3952607.71605622
104,427876.853218395,3952638.69120917
105,426761.747712152,3952731.61666803
106,426916.623476908,3952824.54212688
107,427350.275618225,3952669.66636212
108,428372.455665613,3952886.49243278
109,428279.53020676,3953010.39304459
110,428062.704136102,3953196.24396229
111,427907.828371346,3953351.11972705
112,427814.902912492,3953289.16942115
113,427598.076841834,3952948.44273868
114,427536.126535932,3952886.49243278
115,427443.201077078,3952793.56697393
116,428093.679289053,3952886.49243278
117,427133.449547566,3952917.46758573
118,428496.356277418,3953165.26880934
119,428279.53020676,3953320.1445741
120,428186.604747906,3953320.1445741
121,427969.778677248,3953413.07003295
122,426792.722865103,3953196.24396229
123,426916.623476908,3953258.1942682
124,426947.598629859,3953258.1942682
125,428744.157501027,3953320.1445741
126,428465.381124467,3953382.09488
127,428837.082959881,3953289.16942115
128,428837.082959881,3953475.02033885
129,428651.232042174,3953505.99549181
130,428620.256889223,3953505.99549181
131,428899.033265783,3953505.99549181
132,428031.72898315,3953567.94579771
133,426421.021029689,3953567.94579771
134,426730.772559201,3953505.99549181
135,427288.325312322,3953691.84640951
136,427412.225924127,3953691.84640951
137,427783.927759541,3953444.0451859
138,429022.933877588,3953784.77186837
139,428899.033265783,3953908.67248017
140,428279.53020676,3954063.54824493
141,428186.604747906,3953970.62278607
142,428093.679289053,3953784.77186837
143,426482.971335592,3953815.74702132
144,426606.871947396,3953784.77186837
145,429022.933877588,3953939.64763312
146,427164.424700518,3953970.62278607
147,427257.350159371,3953722.82156246
148,426668.822253299,3953970.62278607
149,426823.698018055,3953908.67248017
150,427040.524088713,3953846.72217427
151,429332.6854071,3954001.59793902
152,429208.784795295,3954063.54824493
153,427443.201077078,3954125.49855083
154,427783.927759541,3953908.67248017
155,429332.6854071,3954156.47370378
156,428465.381124467,3954187.44885673
157,426606.871947396,3954249.39916263
158,428991.958724637,3954342.32462149
159,428744.157501027,3954497.20038624
160,428651.232042174,3954528.17553919
161,428465.381124467,3954249.39916263
162,427474.176230029,3954311.34946854
163,429456.586018904,3954404.27492739
164,429050.373496633,3954958.2921466
165,429053.909030539,3954961.82768051
166,428744.157501027,3954683.05130395
167,426761.747712152,3954435.25008034
168,426885.648323957,3954311.34946854
169,428991.958724637,3954497.20038624
170,427226.37500642,3954528.17553919
171,429611.46178366,3954621.10099805
172,429611.46178366,3954745.00160985
173,429611.46178366,3954992.80283346
174,429580.486630709,3955023.77798641
175,429332.6854071,3955023.77798641
176,426916.623476908,3954590.1258451
177,426699.79740625,3954621.10099805
178,429766.337548416,3954683.05130395
179,427907.828371346,3954745.00160985
180,428248.555053809,3954497.20038624
181,428279.53020676,3954466.22523329
182,426885.648323957,3954775.9767628
183,429859.26300727,3954868.90222166
184,428341.480512662,3954806.95191575
185,427381.250771176,3954837.92706871
186,427567.101688883,3954745.00160985
187,427938.803524297,3955085.72829232
188,429859.26300727,3955178.65375117
189,427040.524088713,3955147.67859822
190,428341.480512662,3955178.65375117
191,428651.232042174,3955023.77798641
192,427938.803524297,3955209.62890412
193,427814.902912492,3955302.55436297
194,427226.37500642,3955302.55436297
195,428372.455665613,3955333.52951592
196,428713.182348076,3955209.62890412
197,430014.138772026,3955395.47982183
198,429301.710254149,3955426.45497478
199,429022.933877588,3955302.55436297
200,428775.132653979,3955426.45497478
201,428744.157501027,3955302.55436297
202,427505.15138298,3955488.40528068
203,427629.051994785,3955488.40528068
204,427629.051994785,3955519.38043363
205,429301.710254149,3955612.30589249
206,429363.660560051,3955488.40528068
207,428124.654442004,3955612.30589249
208,428744.157501027,3955364.50466888
209,430199.989689733,3955674.25619839
210,429518.536324807,3955643.28104544
211,427288.325312322,3955705.23135134
212,427381.250771176,3955674.25619839
213,427598.076841834,3955550.35558658
214,428217.579900857,3955767.18165724
215,428682.207195125,3955581.33073953
216,429673.412089563,3955798.15681019
217,428991.958724637,3955798.15681019
218,428960.983571686,3955674.25619839
219,427102.474394615,3955798.15681019
220,427691.002300687,3955922.057422
221,427598.076841834,3955767.18165724
222,430354.865454488,3956045.9580338
223,429983.163619074,3956169.85864561
224,429921.213313172,3956076.93318675
225,429735.362395465,3955891.08226905
226,429642.436936611,3955984.0077279
227,428372.455665613,3956045.9580338
228,429518.536324807,3956076.93318675
229,428868.058112832,3956014.98288085
230,428837.082959881,3955891.08226905
231,427288.325312322,3956076.93318675
232,427505.15138298,3955922.057422
233,430602.666678098,3956107.9083397
234,430416.815760391,3956138.88349266
235,430072.553544022,3956290.22372351
236,430076.089077928,3956293.75925741
237,430633.641831049,3956138.88349266
238,429425.610865953,3956138.88349266
239,427381.250771176,3956169.85864561
240,428620.256889223,3956231.80895151
241,428651.232042174,3956045.9580338
242,428217.579900857,3956262.78410446
243,428248.555053809,3956262.78410446
244,428991.958724637,3956262.78410446
245,430757.542442854,3956386.68471627
246,430292.915148586,3956634.48593987
247,430138.03938383,3956355.70956331
248,430076.089077928,3956448.63502217
249,428186.604747906,3956448.63502217
250,428186.604747906,3956324.73441036
251,428837.082959881,3956479.61017512
252,428991.958724637,3956355.70956331
253,429425.610865953,3956572.53563397
254,429518.536324807,3956510.58532807
255,429735.362395465,3956355.70956331
256,427721.977453639,3956572.53563397
257,430107.064230879,3956603.51078692
258,430974.368513512,3956634.48593987
259,430478.766066293,3956913.26231644
260,430447.790913342,3956913.26231644
261,430416.815760391,3956882.28716348
262,430385.84060744,3956820.33685758
263,430354.865454488,3956789.36170463
264,427969.778677248,3956665.46109283
265,427969.778677248,3956541.56048102
266,427876.853218395,3956665.46109283
267,428651.232042174,3956727.41139873
268,428744.157501027,3956634.48593987
269,428991.958724637,3956386.68471627
270,428620.256889223,3956789.36170463
271,430974.368513512,3956851.31201053
272,429022.933877588,3956820.33685758
273,428991.958724637,3956634.48593987
274,428868.058112832,3956913.26231644
275,428899.033265783,3956820.33685758
276,431253.144890073,3956944.23746939
277,431005.343666463,3957253.9889989
278,430602.666678098,3957068.13808119
279,428186.604747906,3956975.21262234
280,430354.865454488,3957006.18777529
281,428527.331430369,3957130.08838709
282,429239.759948246,3957161.06354004
283,429332.6854071,3957099.11323414
284,429425.610865953,3957006.18777529
285,429363.660560051,3957192.038693
286,431377.045501877,3957223.01384595
287,431191.19458417,3957315.9393048
288,431129.244278268,3957284.96415185
289,430076.089077928,3957253.9889989
290,429952.188466123,3957223.01384595
291,431377.045501877,3957315.9393048
292,431253.144890073,3957346.91445775
293,431222.169737121,3957346.91445775
294,428589.281736272,3957346.91445775
295,428991.958724637,3957315.9393048
296,430571.691525147,3957408.86476365
297,430664.616984,3957315.9393048
298,430076.089077928,3957439.8399166
299,429921.213313172,3957377.8896107
300,428682.207195125,3957532.76537546
301,429301.710254149,3957625.69083431
302,429394.635713002,3957532.76537546
303,429394.635713002,3957501.79022251
304,431686.797031389,3957656.66598726
305,431438.99580778,3957532.76537546
306,431562.896419584,3957687.64114021
307,430540.716372196,3957687.64114021
308,430757.542442854,3957594.71568136
309,429487.561171856,3957656.66598726
310,429022.933877588,3957718.61629317
311,429828.287854319,3957811.54175202
312,429921.213313172,3957749.59144612
313,430664.616984,3957842.51690497
314,430788.517595805,3957718.61629317
315,431005.343666463,3957935.44236382
316,430912.41820761,3957873.49205792
317,430819.492748756,3957780.56659907
318,428837.082959881,3957935.44236382
319,429208.784795295,3957997.39266973
320,429239.759948246,3957997.39266973
321,429518.536324807,3957718.61629317
322,430664.616984,3957997.39266973
323,430292.915148586,3958090.31812858
324,429921.213313172,3957873.49205792
325,428960.983571686,3958090.31812858
