n.sampling,p.sampling,surface.ha,date.sampling,date.analysis,flow.condition,temperature,pH,conductivity,O2,TP,TDP,SRP,DOC,DIC,abs254nm,SUVA254nm,aromaticiy,fluoride,chloride,nitrite,sulfate,bromide,nitrate
27,P3sup,25540,28/05/2019,30/05/2019,F,14.0,7.46,282.0,9.69,0.094,0.044,0.034,3.8,10.5,0.173,4.58,33.51,0.07,31.9,0.439,13.5,0.103,27.8
27,YV2,30025,28/05/2019,30/05/2019,F,15.2,7.41,280.0,9.6,0.094,0.054,0.043,3.8,11.2,0.18,4.7,34.28,0.08,32.0,0.473,13.8,0.104,23.7
28,P01,1262,11/06/2019,13/06/2019,F,11.9,7.092,183.7,10.17,0.0503,0.0277,0.0204,6.092,5.616,0.23,3.78,28.25,0.09,22.1,0.262,14.1,0.104,7.8
28,P02,553,11/06/2019,13/06/2019,F,11.5,7.09,210.0,10.28,0.1236,0.0733,0.0361,15.02,7.451,0.591,3.93,29.28,0.08,24.2,0.304,10.2,0.095,15.9
28,P03,629,11/06/2019,13/06/2019,F,11.9,7.15,190.0,10.22,0.0723,0.0279,0.013,12.46,5.441,0.496,3.98,29.58,0.08,24.1,0.248,9.2,0.082,14.8
28,P04,599,11/06/2019,13/06/2019,F,13.5,7.35,230.0,10.06,0.1701,0.0392,0.0193,8.124,9.509,0.346,4.26,31.4,0.07,25.4,0.437,10.8,0.086,15.4
28,P05,431,11/06/2019,13/06/2019,F,12.7,7.33,261.0,9.83,0.095,0.0539,0.0313,8.989,9.006,0.389,4.33,31.85,0.09,25.0,0.451,14.7,0.096,28.9
28,P06,7239,11/06/2019,13/06/2019,F,11.1,7.2,205.0,10.39,0.1663,0.0663,0.0377,13.43,5.852,0.474,3.53,26.64,0.05,22.2,0.294,13.1,0.068,17.5
28,P07,361,11/06/2019,13/06/2019,F,11.6,7.17,287.0,10.19,0.039,0.0231,0.0149,6.831,6.331,0.278,4.07,30.16,0.07,31.6,0.279,9.6,0.118,50.6
28,P08,1279,11/06/2019,13/06/2019,F,12.0,7.34,331.0,8.85,0.2594,0.1996,0.1594,6.951,18.24,0.278,4.0,29.71,0.13,30.0,1.736,12.3,0.113,24.4
28,P09,12044,11/06/2019,13/06/2019,F,11.4,7.19,212.0,10.29,0.3268,0.0689,0.0378,15.4,7.218,0.512,3.32,25.31,0.05,23.9,0.336,12.2,0.069,18.1
28,P10,5326,11/06/2019,13/06/2019,F,12.2,7.18,274.0,9.16,0.2099,0.0885,0.0568,14.36,8.908,0.49,3.41,25.88,0.09,27.6,0.547,11.4,0.081,30.7
28,P11,155,11/06/2019,13/06/2019,F,12.3,7.1,210.0,9.3,0.5511,0.3398,0.2865,9.982,9.998,0.31,3.11,23.88,0.08,20.0,0.794,8.5,,12.7
28,P12,178,11/06/2019,13/06/2019,F,12.4,6.72,133.0,10.03,0.0778,0.0334,0.027,10.78,1.024,0.472,4.38,32.18,0.04,28.8,,3.3,0.097,3.1
28,P13,138,11/06/2019,13/06/2019,F,11.9,6.65,163.0,9.63,0.0499,0.0299,0.0226,4.934,5.765,0.161,3.26,24.91,0.05,24.5,0.275,5.9,0.102,9.5
28,P14,181,11/06/2019,13/06/2019,F,13.3,5.09,125.0,9.65,0.013,0.0081,0.0098,3.267,0.9147,0.065,1.99,16.6,0.06,29.8,,4.4,0.105,0.6
28,P15,80,11/06/2019,13/06/2019,F,11.8,5.4,108.0,8.29,0.01,0.0069,0.0086,2.875,1.634,0.057,1.98,16.56,0.07,24.0,,5.2,0.104,0.6
28,P16,500,11/06/2019,13/06/2019,F,14.5,6.53,187.0,9.2,0.0376,0.0198,0.0123,5.545,5.362,0.212,3.82,28.56,0.08,26.6,0.255,6.6,0.082,16.5
28,P17,547,11/06/2019,13/06/2019,F,12.5,6.97,273.0,10.14,0.0831,0.0361,0.0206,5.446,9.349,0.204,3.75,28.05,0.07,26.7,0.395,15.3,0.09,32.4
28,P18,1439,11/06/2019,13/06/2019,F,14.2,7.01,152.0,9.57,0.0521,0.0235,0.0134,5.831,5.191,0.219,3.76,28.12,0.09,22.3,0.239,8.8,0.081,2.9
28,P19,587,11/06/2019,13/06/2019,F,11.9,7.32,266.0,10.31,0.0543,0.0321,0.0202,4.861,9.3,0.201,4.13,30.59,0.11,24.5,0.402,13.6,0.095,34.9
28,P20,933,11/06/2019,13/06/2019,F,11.9,7.31,237.0,9.72,0.1384,0.0694,0.0445,7.415,12.53,0.337,4.54,33.26,0.1,25.9,0.428,10.5,0.101,8.5
28,P21,459,11/06/2019,13/06/2019,,,,,,,,,,,,,,,,,,,
28,P22,1092,11/06/2019,13/06/2019,F,13.0,7.31,274.0,10.11,0.098122107,0.040589866,0.0226,4.97,12.12,0.243,4.89,35.51,0.1,30.1,0.432,18.2,0.127,14.0
28,P23,458,11/06/2019,13/06/2019,F,13.5,7.29,270.0,9.55,0.0642,0.0389,0.0227,6.939,12.46,0.289,4.16,30.78,0.1,29.3,0.479,14.2,0.111,14.7
28,P24,145,11/06/2019,13/06/2019,F,12.1,6.94,279.0,8.65,0.0484,0.0368,0.0267,5.623,15.63,0.273,4.86,35.28,0.11,35.3,0.325,13.4,0.156,2.0
28,P25,414,11/06/2019,13/06/2019,F,12.2,7.34,291.0,10.36,0.0566,0.0296,0.0186,5.371,10.74,0.222,4.13,30.58,0.12,30.5,0.335,10.9,0.106,34.8
28,P26,113,11/06/2019,13/06/2019,F,11.8,7.33,260.0,10.19,0.1542,0.0947,0.0526,10.07,16.56,0.402,3.99,29.66,0.11,27.1,0.677,8.1,0.126,6.4
28,P27,1390,11/06/2019,13/06/2019,F,13.0,7.19,259.0,9.26,0.2103,0.1498,0.1304,5.356,8.338,0.182,3.4,25.79,0.08,27.6,0.326,10.4,0.095,33.6
28,P28,2363,11/06/2019,13/06/2019,F,12.4,7.3,199.0,9.96,0.2282,0.0996,0.0711,11.1,6.811,0.405,3.65,27.42,0.21,25.8,0.361,7.9,0.1,9.8
28,P29,156,11/06/2019,13/06/2019,F,11.3,7.14,153.0,10.33,0.0669,0.0366,0.0223,12.34,3.645,0.524,4.25,31.32,0.07,23.8,0.219,6.4,0.098,5.5
28,P1sup,3484,11/06/2019,13/06/2019,F,10.8,7.13,220.0,10.5,0.1314,0.0576,0.0319,13.68,5.645,0.46,3.36,25.55,0.05,24.9,0.287,14.0,0.075,17.7
28,P2sup,8951,11/06/2019,13/06/2019,F,12.3,7.3,244.0,9.6,0.1503,0.0806,0.0588,7.865,11.63,0.304,3.87,28.83,0.07,26.3,0.437,12.2,0.108,12.0
28,P3sup,25540,11/06/2019,13/06/2019,F,11.4,7.32,186.0,10.19,0.442192133,0.057732437,0.0341,10.7,6.342,0.328,3.07,23.62,0.05,20.9,0.338,10.3,,13.6
28,YV2,30025,11/06/2019,13/06/2019,F,12.8,7.4,255.0,9.99,0.119313093,0.061690428,0.0403,7.378,9.633,0.291,3.94,29.35,0.09,28.5,0.358,13.1,0.087,20.5
29,P01,1262,25/06/2019,03/07/2019,F,14.6,6.96,195.0,9.46,0.0395,0.0215,0.0133,3.9,6.38,0.156,4.0,29.7,0.06,23.2,0.258,14.5,0.118,7.1
29,P02,553,25/06/2019,03/07/2019,F,14.0,7.11,221.0,9.67,0.0784,0.049,0.0279,6.49,7.71,0.289,4.45,32.66,0.05,25.8,0.459,8.1,0.126,23.3
29,P03,629,25/06/2019,03/07/2019,F,14.2,7.2,212.0,9.91,0.0482,0.0282,0.0136,8.06,6.15,0.354,4.39,32.28,0.06,25.9,0.248,7.7,0.102,25.2
29,P04,599,25/06/2019,03/07/2019,F,15.8,7.46,241.0,9.65,0.1255,0.0502,0.0296,7.07,10.01,0.293,4.15,30.67,0.08,26.4,0.387,9.4,0.094,21.6
29,P05,431,25/06/2019,03/07/2019,F,15.9,7.44,283.0,9.26,0.0952,0.0499,0.0285,6.25,11.77,0.326,5.22,37.65,0.06,26.7,0.585,13.9,0.111,35.5
29,P06,7239,25/06/2019,03/07/2019,F,15.1,7.43,276.0,9.5,0.0993,0.0615,0.0384,5.71,9.66,0.212,3.71,27.83,0.06,32.2,0.342,16.8,0.114,20.9
29,P07,361,25/06/2019,03/07/2019,F,14.5,7.34,276.0,9.83,0.0476,0.027,0.0138,6.64,7.24,0.291,4.38,32.21,0.04,30.8,0.298,7.2,0.127,49.1
29,P08,1279,25/06/2019,03/07/2019,F,15.5,7.39,316.0,8.25,0.2401,0.1421,0.1124,6.19,17.05,0.283,4.57,33.42,0.07,29.5,1.316,12.2,0.116,23.3
29,P09,12044,25/06/2019,03/07/2019,F,15.8,7.44,282.0,9.5,0.0782,0.0404,0.0214,5.62,9.93,0.239,4.25,31.36,0.23,30.8,0.343,14.6,0.111,29.9
29,P10,5326,25/06/2019,03/07/2019,F,16.0,7.3,272.0,7.72,0.2029,0.121,0.0826,11.71,14.1,0.422,3.6,27.13,0.6,28.2,0.652,11.7,0.102,14.7
29,P11,155,25/06/2019,03/07/2019,F,15.6,7.21,258.0,8.61,0.4195,0.2558,0.2142,10.02,12.55,0.339,3.38,25.69,0.08,27.1,0.98,10.5,0.094,16.5
29,P12,178,25/06/2019,03/07/2019,F,15.7,6.31,132.0,9.14,0.0903,0.0404,0.0201,10.74,7.29,0.471,4.39,32.22,0.06,29.2,0.278,3.1,0.109,2.4
29,P13,138,25/06/2019,03/07/2019,F,15.5,6.59,152.0,9.22,0.0518,0.0266,0.0154,4.54,4.55,0.142,3.13,24.01,0.07,24.4,0.204,4.7,0.12,7.5
29,P14,181,25/06/2019,03/07/2019,F,16.1,5.02,126.0,8.93,0.0321,0.0154,0.0102,3.51,0.68,0.07,1.99,16.63,0.06,30.5,,4.1,0.108,0.6
29,P15,80,25/06/2019,03/07/2019,F,13.4,5.19,110.0,7.6,0.026,0.0138,0.0101,2.81,1.67,0.057,2.03,16.86,0.06,25.1,,4.8,0.11,0.6
29,P16,500,25/06/2019,03/07/2019,F,17.6,6.63,167.0,8.58,0.0627,0.0306,0.0142,6.24,5.56,0.233,3.73,27.98,0.09,33.8,0.225,6.1,0.114,10.8
29,P17,547,25/06/2019,03/07/2019,F,15.8,7.06,274.0,9.26,0.1106,0.0497,0.025,7.04,10.77,0.251,3.56,26.86,0.03,27.2,0.348,14.7,0.102,27.4
29,P18,1439,25/06/2019,03/07/2019,F,18.0,7.06,157.0,8.77,0.0594,0.0316,0.0145,6.22,5.8,0.224,3.6,27.11,0.09,22.1,0.253,9.0,0.089,3.4
29,P19,587,25/06/2019,03/07/2019,F,15.7,7.38,267.0,9.45,0.0968,0.0505,0.0265,6.29,10.0,0.242,3.85,28.73,0.09,25.1,0.363,12.5,0.105,33.7
29,P20,933,25/06/2019,03/07/2019,F,16.0,7.35,243.0,8.53,0.1221,0.0798,0.046,7.84,13.44,0.345,4.4,32.33,0.08,24.9,0.357,10.2,0.11,12.9
29,P21,459,25/06/2019,03/07/2019,NF,,,,,,,,,,,,,,,,,,
29,P22,1092,25/06/2019,03/07/2019,F,16.7,7.25,249.0,9.35,0.1065,0.053,0.0305,8.26,15.67,0.263,3.18,24.39,0.15,25.9,0.534,18.7,0.124,12.5
29,P23,458,25/06/2019,03/07/2019,F,16.7,7.32,267.0,9.01,0.061,0.0374,0.0196,4.95,12.31,0.232,4.68,34.18,0.09,27.7,0.432,15.2,0.127,19.0
29,P24,145,25/06/2019,03/07/2019,F,15.7,7.16,289.0,8.73,0.0641,0.0409,0.0259,5.93,12.61,0.229,3.86,28.83,0.09,35.5,0.396,15.8,0.139,16.4
29,P25,414,25/06/2019,03/07/2019,F,15.3,7.31,295.0,9.73,0.0656,0.0357,0.0184,4.98,10.45,0.205,4.12,30.5,0.09,30.3,0.378,11.0,0.118,40.9
29,P26,113,25/06/2019,03/07/2019,F,15.3,7.32,258.0,9.48,0.2473,0.1326,0.0675,9.44,16.8,0.351,3.72,27.87,0.1,27.0,1.142,13.3,0.133,22.1
29,P27,1390,25/06/2019,03/07/2019,F,17.0,7.17,305.0,8.74,0.2422,0.1584,0.1329,6.43,9.8,0.241,3.75,28.06,0.08,27.2,0.395,9.8,0.103,29.8
29,P28,2363,25/06/2019,03/07/2019,F,16.2,7.37,218.0,8.75,0.2479,0.1306,0.0941,13.01,9.38,0.481,3.7,27.74,0.04,26.0,0.406,8.2,0.112,11.2
29,P29,156,25/06/2019,03/07/2019,F,15.2,7.08,150.0,9.21,0.0839,0.0493,0.0268,13.71,4.53,0.578,4.22,31.12,0.2,22.6,0.233,5.1,0.107,5.2
29,P1sup,3484,25/06/2019,03/07/2019,F,15.0,7.42,272.0,9.49,0.0772,0.0411,0.0238,6.38,8.97,0.223,3.5,26.43,0.24,32.2,0.31,16.8,0.117,21.5
29,P2sup,8951,25/06/2019,03/07/2019,F,16.2,7.35,278.0,8.2,0.1368,0.0781,0.0511,8.67,13.14,0.277,3.19,24.45,0.06,28.4,0.382,15.1,0.107,16.4
29,P3sup,25540,25/06/2019,03/07/2019,F,16.0,7.43,279.0,8.55,0.1255,0.0606,0.0365,6.47,11.51,0.246,3.8,28.44,0.02,29.7,0.377,14.8,0.103,23.0
29,YV2,30025,25/06/2019,03/07/2019,F,16.8,7.33,275.0,8.62,0.1117,0.0629,0.0426,6.55,10.73,0.24,3.67,27.53,0.07,29.9,0.358,13.8,0.107,24.4
30,P01,1262,09/07/2019,17/07/2019,F,15.5,6.63,207.0,8.14,0.0368,0.0186,0.0125,3.74,7.13,0.113,3.02,23.33,0.073240334,25.94426122,0.209352986,20.14985555,0.119887427,7.036119833
30,P02,553,09/07/2019,17/07/2019,F,15.4,6.8,235.0,8.66,0.0758,0.0463,0.016,5.41,7.88,0.188,3.47,26.28,0.069919958,26.24215118,0.282764668,9.631574976,0.105931217,31.03299444
30,P03,629,09/07/2019,17/07/2019,F,15.1,7.06,244.0,9.37,0.0454,0.0255,0.0124,3.72,4.39,0.1262,3.39,25.73,0.061954448,29.98480489,0.108434476,4.372525145,0.085667315,49.13742937
30,P04,599,09/07/2019,17/07/2019,F,15.1,7.46,269.0,9.66,0.1231,0.0474,0.0421,6.9,10.06,0.2253,3.27,24.93,0.095918125,29.42340879,0.258938457,7.948276396,0.065857624,34.30830297
30,P05,431,09/07/2019,17/07/2019,F,16.3,7.49,306.0,9.15,0.0926,0.0471,0.0458,5.36,11.44,0.1918,3.58,26.94,0.079520992,31.39774682,0.264721354,14.19600995,0.082850416,38.83646371
30,P06,7239,09/07/2019,17/07/2019,F,15.9,7.3,269.0,8.71,0.0965,0.0587,0.0232,6.25,10.05,0.2064,3.3,25.15,0.07090099,30.9005222,0.289041059,9.670615243,0.07591569,32.32966805
30,P07,361,09/07/2019,17/07/2019,F,15.0,7.45,285.0,9.73,0.045,0.0242,0.0131,2.34,5.71,0.0839,3.58,26.99,0.051030962,31.24685503,0.183080734,6.023877409,0.10045354,61.18277038
30,P08,1279,09/07/2019,17/07/2019,F,16.5,7.46,299.0,8.86,0.2378,0.1394,0.0554,4.75,13.89,0.1454,3.06,23.58,0.115369655,31.66004862,0.407258068,13.9701025,0.100810321,27.58664837
30,P09,12044,09/07/2019,17/07/2019,F,17.1,7.4,292.0,8.81,0.0755,0.0375,0.0173,5.25,9.64,0.1671,3.19,24.4,0.070365239,34.07774626,0.268079274,13.47177958,0.072683321,33.50011923
30,P10,5326,09/07/2019,17/07/2019,F,18.0,7.27,321.0,6.1,0.2004,0.118,0.0588,8.52,21.01,0.3211,3.77,28.19,0.1180233,33.83640585,0.29934652,13.06495334,0.112447919,6.827783636
30,P11,155,09/07/2019,17/07/2019,VLF,19.4,7.18,240.0,7.4,0.4175,0.2534,0.1075,4.75,9.75,0.1315,2.77,21.69,0.103029007,29.13411003,0.334559303,7.544545474,0.079002843,19.50487994
30,P12,178,09/07/2019,17/07/2019,VLF,17.4,6.86,189.0,7.8,0.0876,0.0375,0.0127,5.83,5.02,0.2034,3.49,26.36,0.060590109,23.72610388,0.300598067,8.796030042,0.103389443,21.54417805
30,P13,138,09/07/2019,17/07/2019,F,14.6,6.36,243.0,5.5,0.0492,0.0236,0.0294,2.44,10.33,0.0486,1.99,16.62,0.064854764,22.52226467,0.258445325,11.40060403,0.081150487,36.31183914
30,P14,181,09/07/2019,17/07/2019,VLF,19.0,5.18,129.0,8.6,0.0295,0.0125,0.0102,2.96,1.11,0.0488,1.65,14.38,0.08881617,31.83705531,,4.412095802,0.142291318,0.667956623
30,P15,80,09/07/2019,17/07/2019,F,15.1,5.36,112.0,8.7,0.0234,0.011,0.0105,3.37,1.09,0.0558,1.66,14.44,0.073912831,27.40959228,,3.282344971,0.12260388,0.560999302
30,P16,500,09/07/2019,17/07/2019,F,18.5,6.72,218.0,7.3,0.0602,0.0276,0.0205,3.99,6.63,0.1127,2.83,22.06,0.115928693,25.27646848,0.264127959,8.747600676,0.085133303,23.40747136
30,P17,547,09/07/2019,17/07/2019,F,18.2,7.02,266.0,8.8,0.108,0.0468,0.0331,2.93,7.1,0.0795,2.71,21.33,0.092145177,26.15219892,0.294381016,14.62755839,0.066358463,40.65894221
30,P18,1439,09/07/2019,17/07/2019,F,17.5,7.21,165.0,8.75,0.0567,0.0288,0.0205,6.17,6.15,0.1847,2.99,23.15,0.1100178,23.28823392,0.196532154,8.056147062,0.076110087,4.585033643
30,P19,587,09/07/2019,17/07/2019,F,16.9,7.46,267.0,9.48,0.0941,0.0476,0.0264,5.22,8.58,0.1576,3.02,23.33,0.123102369,24.53164462,0.261460087,12.44284261,0.077945491,41.42375035
30,P20,933,09/07/2019,17/07/2019,NF,,,,,,,,,,,,,,,,,,
30,P21,459,09/07/2019,17/07/2019,,,,,,,,,,,,,,,,,,,
30,P22,1092,09/07/2019,17/07/2019,F,19.1,7.09,328.0,8.52,0.104,0.0502,0.0185,4.15,9.4,0.1161,2.8,21.86,0.092459217,36.28384625,0.294881009,21.00271131,0.104710553,39.53239594
30,P23,458,09/07/2019,17/07/2019,F,19.6,6.88,255.0,7.54,0.0582,0.0344,0.0341,5.0,11.03,0.1789,3.58,26.94,0.111045965,25.92353952,0.287584772,13.71839232,0.100789211,23.67441318
30,P24,145,09/07/2019,17/07/2019,NF,,,,,,,,,,,,,,,,,,
30,P25,414,09/07/2019,17/07/2019,F,16.3,7.17,282.0,9.59,0.063,0.0328,0.0231,3.09,6.55,0.0866,2.8,21.91,0.108656289,30.30268057,0.207515386,9.766292735,0.075969045,50.2486646
30,P26,113,09/07/2019,17/07/2019,NF,,,,,,,,,,,,,,,,,,
30,P27,1390,09/07/2019,17/07/2019,F,15.7,7.4,283.0,9.3,0.24,0.1557,0.1265,3.81,8.66,0.1148,3.01,23.27,0.097999823,32.05756694,0.22544628,11.68565125,0.089688639,36.97121089
30,P28,2363,09/07/2019,17/07/2019,F,16.3,7.39,195.0,8.9,0.2455,0.1281,0.1809,10.49,6.92,0.3916,3.73,27.97,0.064028446,28.18536783,0.209316997,6.180431019,0.111223312,7.310226614
30,P29,156,09/07/2019,17/07/2019,NF,,,,,,,,,,,,,,,,,,
30,P1sup,3484,09/07/2019,17/07/2019,F,16.0,7.37,300.0,9.25,0.0746,0.0384,0.0254,4.23,9.08,0.1321,3.12,23.97,0.063613855,36.55538578,0.232070643,18.06224209,0.100170296,29.7262932
30,P2sup,8951,09/07/2019,17/07/2019,F,18.0,7.34,348.0,6.1,0.1342,0.0752,0.0709,8.1,18.92,0.2556,3.16,24.21,0.10288337,36.64804429,0.288861355,20.69551976,0.100331752,8.379320595
30,P3sup,25540,09/07/2019,17/07/2019,F,17.7,7.4,297.0,8.0,0.123,0.0578,0.04,6.29,12.4,0.2013,3.2,24.48,0.083603814,33.92804408,0.277481523,14.26199565,0.077593813,22.29302302
30,YV2,30025,09/07/2019,17/07/2019,F,19.2,7.28,290.0,7.45,0.1091,0.06,0.0527,6.52,13.48,0.2194,3.36,25.56,0.070992799,32.7265818,0.317002742,13.60937956,0.101935178,18.43226624
31,P01,1262,23/07/2019,26/07/2019,VLF,17.8,6.45,223.0,5.77,0.0369,0.0244,0.0105,3.0,6.74,0.0992,3.31,25.2,0.081535579,27.11600314,0.191204368,24.96537439,0.131742681,6.607094891
31,P02,553,23/07/2019,26/07/2019,VLF,17.7,6.72,239.0,7.3,0.0295,0.0216,0.0169,2.99,8.74,0.1617,5.41,38.9,0.082572928,25.98194905,0.330944891,9.587267272,0.110004403,29.34432703
31,P03,629,23/07/2019,26/07/2019,VLF,17.7,6.89,266.0,8.62,0.0256,0.0179,0.0142,2.96,3.69,0.1062,3.59,27.01,0.04642485,35.20297276,0.110049877,2.598422797,0.087333218,54.89793316
31,P04,599,23/07/2019,26/07/2019,LF,18.1,7.47,277.0,8.95,0.198,0.0515,0.0534,6.83,10.08,0.2199,3.22,24.61,0.099754484,30.26226906,0.230090506,6.515939427,,37.49417533
31,P05,431,23/07/2019,26/07/2019,LF,19.0,7.52,309.0,8.51,0.1246,0.035,0.0458,5.96,12.63,0.1918,3.22,24.62,0.083091202,30.91698979,0.258513731,13.37914649,0.094553349,29.71674302
31,P06,7239,23/07/2019,26/07/2019,VLF,18.1,7.37,340.0,8.39,0.054,0.0355,0.0355,3.33,11.26,0.1375,4.12,30.52,0.060591763,44.68800974,0.239851106,18.69365535,0.103706727,28.03091255
31,P07,361,23/07/2019,26/07/2019,VLF,17.2,7.3,280.0,9.09,0.0448,0.0196,0.0139,2.84,5.79,0.0888,3.13,24.05,0.010157562,30.90994464,0.182319042,6.191782813,0.096941479,59.61852126
31,P08,1279,23/07/2019,26/07/2019,VLF,19.8,7.54,306.0,8.03,0.123,0.0446,0.0597,5.49,16.56,0.1887,3.43,26.03,0.116775876,32.32692983,0.298831161,12.13352451,0.102342828,14.64113633
31,P09,12044,23/07/2019,26/07/2019,VLF,19.8,7.38,310.0,8.06,0.0482,0.0282,0.0218,5.32,10.63,0.1729,3.25,24.84,0.073511979,38.54131487,0.263777337,13.94335625,0.063876691,28.97989315
31,P10,5326,23/07/2019,26/07/2019,VLF,21.2,7.23,330.0,5.8,0.1119,0.0519,0.0693,4.55,22.66,0.3011,6.62,46.77,0.121111296,35.42738381,0.289113178,12.16535576,0.104582648,3.082567582
31,P11,155,23/07/2019,26/07/2019,VLF,24.0,7.04,240.0,5.3,0.5205,0.1998,0.1662,6.64,9.83,0.2059,3.1,23.84,0.121357905,30.27234091,0.411052892,8.192260785,0.066440254,12.97755378
31,P12,178,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P13,138,23/07/2019,26/07/2019,VLF,16.5,6.09,252.0,5.4,0.0605,0.0355,0.0368,0.37,8.79,0.0207,5.58,39.99,0.085012932,21.78146978,0.197646966,12.37313715,0.067984236,46.83159832
31,P14,181,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P15,80,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P16,500,23/07/2019,26/07/2019,VLF,23.4,6.88,219.0,6.05,0.1141,0.025,0.0211,3.84,9.42,0.1265,3.3,25.13,0.153413646,26.30340244,0.295544042,9.568064945,0.089211903,13.26910866
31,P17,547,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P18,1439,23/07/2019,26/07/2019,VLF,21.9,7.14,169.0,,0.0438,0.0226,0.0178,5.91,6.28,0.1683,2.85,22.19,0.148183141,24.22519083,0.168216703,7.294173791,0.079678652,2.791798082
31,P19,587,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P20,933,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P21,459,23/07/2019,26/07/2019,,,,,,,,,,,,,,,,,,,
31,P22,1092,23/07/2019,26/07/2019,VLF,25.2,7.01,331.0,7.26,0.1208,0.0233,0.0212,3.75,8.38,0.0863,2.3,18.63,0.115040576,35.26572467,0.386829287,20.19349071,0.137416474,49.49604121
31,P23,458,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P24,145,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P25,414,23/07/2019,26/07/2019,LF,20.5,7.31,278.0,8.75,0.0583,0.0297,0.0271,2.98,5.77,0.085,2.85,22.21,0.139260211,30.62382727,0.14656742,10.00094788,0.07084674,50.06696383
31,P26,113,23/07/2019,26/07/2019,VLF,19.0,7.31,303.0,8.05,,,,,,,,,,,,,,
31,P27,1390,23/07/2019,26/07/2019,NF,,,,,0.2693,0.1937,0.1692,6.8,11.28,0.1491,2.19,17.93,0.062163805,37.65391391,0.219835326,12.24610526,0.085961465,32.46896534
31,P28,2363,23/07/2019,26/07/2019,VLF,21.1,7.11,185.7,7.45,0.4364,0.1163,0.1303,9.73,4.89,0.3234,3.32,25.3,0.080387913,27.69440591,0.111228906,6.075947144,0.098142314,9.866722349
31,P29,156,23/07/2019,26/07/2019,NF,,,,,,,,,,,,,,,,,,
31,P1sup,3484,23/07/2019,26/07/2019,LF,17.9,7.34,358.0,8.5,0.0692,0.0257,0.0268,3.59,10.37,0.1299,3.62,27.23,0.102630267,49.17427293,0.154403234,19.95385799,0.104426443,28.49779853
31,P2sup,8951,23/07/2019,26/07/2019,VLF,22.2,7.48,382.0,7.14,0.1861,0.0757,0.0743,6.86,22.18,0.2829,4.12,30.5,0.151743371,39.35629953,0.232290641,22.147344,0.110022402,3.027247285
31,P3sup,25540,23/07/2019,26/07/2019,LF,20.7,7.4,325.0,7.12,0.1166,0.0503,0.047,7.18,15.31,0.2209,3.08,23.68,0.12227144,37.86841424,0.23344641,16.03247916,0.069954989,15.4301204
31,YV2,30025,23/07/2019,26/07/2019,LF,23.0,7.33,302.0,6.9,0.1007,0.0401,0.047,6.06,15.71,0.211,3.48,26.34,0.128383962,35.00440892,0.241928718,13.90229881,0.09587475,10.86640818
