Constituent,Model,AICc,Key,varcomp,proportion,bias,std.bias,MSPE,RMSPE,std.MSPE,RAV,cor2,cover.80,cover.90,cover.95
TDN..mg.N.L.,none,47.41887820176379,TDN..mg.N.L.__avg__none,Covariates (PR-sq),0.046293469118427355,0.0023603449183690435,0.0020724982129514237,0.5605016487366788,0.7486665804860525,1.0053721271597553,0.7448111884447712,0.07938077482088417,0.9,0.95,0.95
TDN..mg.N.L.,none,47.41887820176379,TDN..mg.N.L.__avg__none,tailup_de,0,0.0023603449183690435,0.0020724982129514237,0.5605016487366788,0.7486665804860525,1.0053721271597553,0.7448111884447712,0.07938077482088417,0.9,0.95,0.95
TDN..mg.N.L.,none,47.41887820176379,TDN..mg.N.L.__avg__none,taildown_de,0,0.0023603449183690435,0.0020724982129514237,0.5605016487366788,0.7486665804860525,1.0053721271597553,0.7448111884447712,0.07938077482088417,0.9,0.95,0.95
TDN..mg.N.L.,none,47.41887820176379,TDN..mg.N.L.__avg__none,euclid_de,0,0.0023603449183690435,0.0020724982129514237,0.5605016487366788,0.7486665804860525,1.0053721271597553,0.7448111884447712,0.07938077482088417,0.9,0.95,0.95
TDN..mg.N.L.,none,47.41887820176379,TDN..mg.N.L.__avg__none,nugget,0.9537065308815726,0.0023603449183690435,0.0020724982129514237,0.5605016487366788,0.7486665804860525,1.0053721271597553,0.7448111884447712,0.07938077482088417,0.9,0.95,0.95
TDN..mg.N.L.,tailup,51.22462239223205,TDN..mg.N.L.__avg__tailup,Covariates (PR-sq),3.7625676480557146e-4,0.012226323992359279,0.010947406155428406,0.5620897496500216,0.7497264498802357,1.100641157153012,0.6846020038646129,0.047275536582701325,0.8,0.95,0.95
TDN..mg.N.L.,tailup,51.22462239223205,TDN..mg.N.L.__avg__tailup,tailup_de,0.8302037318098745,0.012226323992359279,0.010947406155428406,0.5620897496500216,0.7497264498802357,1.100641157153012,0.6846020038646129,0.047275536582701325,0.8,0.95,0.95
TDN..mg.N.L.,tailup,51.22462239223205,TDN..mg.N.L.__avg__tailup,taildown_de,0,0.012226323992359279,0.010947406155428406,0.5620897496500216,0.7497264498802357,1.100641157153012,0.6846020038646129,0.047275536582701325,0.8,0.95,0.95
TDN..mg.N.L.,tailup,51.22462239223205,TDN..mg.N.L.__avg__tailup,euclid_de,0,0.012226323992359279,0.010947406155428406,0.5620897496500216,0.7497264498802357,1.100641157153012,0.6846020038646129,0.047275536582701325,0.8,0.95,0.95
TDN..mg.N.L.,tailup,51.22462239223205,TDN..mg.N.L.__avg__tailup,nugget,0.16942001142531996,0.012226323992359279,0.010947406155428406,0.5620897496500216,0.7497264498802357,1.100641157153012,0.6846020038646129,0.047275536582701325,0.8,0.95,0.95
TDN..mg.N.L.,euclid_only,49.52376741150433,TDN..mg.N.L.__avg__euclid_only,Covariates (PR-sq),0.0041034918200725246,0.0014392938917121873,0.001561442820627218,0.4258750629279585,0.6525910380383403,0.9911254798579486,0.6591126774982856,0.12274130722347437,0.85,0.9,0.95
TDN..mg.N.L.,euclid_only,49.52376741150433,TDN..mg.N.L.__avg__euclid_only,tailup_de,0,0.0014392938917121873,0.001561442820627218,0.4258750629279585,0.6525910380383403,0.9911254798579486,0.6591126774982856,0.12274130722347437,0.85,0.9,0.95
TDN..mg.N.L.,euclid_only,49.52376741150433,TDN..mg.N.L.__avg__euclid_only,taildown_de,0,0.0014392938917121873,0.001561442820627218,0.4258750629279585,0.6525910380383403,0.9911254798579486,0.6591126774982856,0.12274130722347437,0.85,0.9,0.95
TDN..mg.N.L.,euclid_only,49.52376741150433,TDN..mg.N.L.__avg__euclid_only,euclid_de,0.8929649515643053,0.0014392938917121873,0.001561442820627218,0.4258750629279585,0.6525910380383403,0.9911254798579486,0.6591126774982856,0.12274130722347437,0.85,0.9,0.95
TDN..mg.N.L.,euclid_only,49.52376741150433,TDN..mg.N.L.__avg__euclid_only,nugget,0.10293155661562221,0.0014392938917121873,0.001561442820627218,0.4258750629279585,0.6525910380383403,0.9911254798579486,0.6591126774982856,0.12274130722347437,0.85,0.9,0.95
TDN..mg.N.L.,tailup_euclid,55.20734388399238,TDN..mg.N.L.__avg__tailup_euclid,Covariates (PR-sq),0.0020743791972380743,-0.004585138489703056,-0.004849225964980435,0.43441424292887837,0.6591010870336039,1.059663116673843,0.6218027272086757,0.11059030248476903,0.8,0.95,0.95
TDN..mg.N.L.,tailup_euclid,55.20734388399238,TDN..mg.N.L.__avg__tailup_euclid,tailup_de,0.002469990835938855,-0.004585138489703056,-0.004849225964980435,0.43441424292887837,0.6591010870336039,1.059663116673843,0.6218027272086757,0.11059030248476903,0.8,0.95,0.95
TDN..mg.N.L.,tailup_euclid,55.20734388399238,TDN..mg.N.L.__avg__tailup_euclid,taildown_de,0,-0.004585138489703056,-0.004849225964980435,0.43441424292887837,0.6591010870336039,1.059663116673843,0.6218027272086757,0.11059030248476903,0.8,0.95,0.95
TDN..mg.N.L.,tailup_euclid,55.20734388399238,TDN..mg.N.L.__avg__tailup_euclid,euclid_de,0.994601166903099,-0.004585138489703056,-0.004849225964980435,0.43441424292887837,0.6591010870336039,1.059663116673843,0.6218027272086757,0.11059030248476903,0.8,0.95,0.95
TDN..mg.N.L.,tailup_euclid,55.20734388399238,TDN..mg.N.L.__avg__tailup_euclid,nugget,8.544630637240834e-4,-0.004585138489703056,-0.004849225964980435,0.43441424292887837,0.6591010870336039,1.059663116673843,0.6218027272086757,0.11059030248476903,0.8,0.95,0.95
